train/ent_coef_loss,time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,time/episodes,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates
-51.198936462402344,156,15,2400,2770.84912109375,4,1.9784678220748901,0.0003,1112.246337890625,2299
-142.9672088623047,319,15,4800,7343.38232421875,8,4.3162078857421875,0.0003,4794.89404296875,4699
-213.1900177001953,486,14,7200,15218.689453125,12,8.947522163391113,0.0003,31933.734375,7099
-284.6534729003906,649,14,9600,32342.65625,16,18.389137268066406,0.0003,427196.0625,9499
